from_address,to_address,total_increase,call_count,total_gas_current,total_gas_new,cost_ratio
0xaaf7b278bac078aa4f9bdc8e0a93cde604aa67d9,0x5d8ba173dc6c3c90c8f7c04c9288bef5fdbad06e,1508400,6704,3266524,4774924,1.4617752693689072
0x000000629fbcf27a347d1aeba658435230d74a5f,0x68d30f47f19c07bccef4ac7fae2dc12fca3e0dc9,1406700,9378,7263261,8669961,1.1936733376371853
0x54ab716d465be3d5eeca64e63ac0048d7a81659a,0x8c0bfc04ada21fd496c55b8c50331f904306f564,1207800,5424,2691102,3898902,1.4488124195961356
0xfcb73f6405f6b9be91013d9477d81833a69c9c0d,0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,621900,4146,3211077,3832977,1.1936733376371853
0xf3b07f6744e06cd5074b7d15ed2c33760837ce1f,0x8c0bfc04ada21fd496c55b8c50331f904306f564,510000,2290,1135910,1645910,1.4489792325096178
0x54ab716d465be3d5eeca64e63ac0048d7a81659a,0x5d8ba173dc6c3c90c8f7c04c9288bef5fdbad06e,453600,2016,982296,1435896,1.4617752693689072
0x58d14960e0a2be353edde61ad719196a2b816522,0x8c0bfc04ada21fd496c55b8c50331f904306f564,315000,1435,729365,1044365,1.431882527952397
0xaaf7b278bac078aa4f9bdc8e0a93cde604aa67d9,0x8c0bfc04ada21fd496c55b8c50331f904306f564,289200,1297,642017,931217,1.4504553617739093
0x3527439923a63f8c13cf72b8fe80a77f6e572092,0x8c0bfc04ada21fd496c55b8c50331f904306f564,243600,1113,568449,812049,1.42853448594333
0xf3b07f6744e06cd5074b7d15ed2c33760837ce1f,0x5d8ba173dc6c3c90c8f7c04c9288bef5fdbad06e,235800,1048,510638,746438,1.4617752693689072
0x2b711ee00b50d67667c4439c28aeaf7b75cb6e0d,0x8c0bfc04ada21fd496c55b8c50331f904306f564,230400,1024,498944,729344,1.4617752693689072
0xc2adcfccee33a417064d1a45d3b202de6d9fa474,0x02993cdc11213985b9b13224f3af289f03bf298d,123300,822,636639,759939,1.1936733376371853
0x9c0b0dbbae8a976ceea8c2a96f6d00c53839afdc,0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae,112500,750,580875,693375,1.1936733376371853
0x94a365ca808029af8db18257ecd296c16c61ac05,0xece9cf6a8f2768a3b8b65060925b646afeaa5167,75600,645,577746,653346,1.1308533507804468
0xad0a80a085095eca46de3053c345516f1c722d2a,0x8c0bfc04ada21fd496c55b8c50331f904306f564,64800,309,168657,233457,1.3842117433607855
0x52ff08f313a00a54e3beffb5c4a7f7446efb6754,0xd19d4b5d358258f05d7b411e21a1460d11b0876f,57600,384,297408,355008,1.1936733376371853
0x01c3a1a6890a146ac187a019f9863b3ab2bff91e,0xabea9132b05a70803a4e85094fd0e1800777fbef,49200,205,88109,137309,1.5583992554676593
0x58d14960e0a2be353edde61ad719196a2b816522,0x5d8ba173dc6c3c90c8f7c04c9288bef5fdbad06e,30600,136,66266,96866,1.4617752693689072
0x2572835e02b59078711aa0800490e80975e4169d,0x8c0bfc04ada21fd496c55b8c50331f904306f564,28800,128,62368,91168,1.4617752693689072
0x0f9b807d5b0ce12450059b425dc35c727d65cb2f,0x8c0bfc04ada21fd496c55b8c50331f904306f564,21600,96,46776,68376,1.4617752693689072
