address,type,total_increase,avg_increase,call_count
0x8c0bfc04ada21fd496c55b8c50331f904306f564,contract,2993400,218.56,13696
0x5d8ba173dc6c3c90c8f7c04c9288bef5fdbad06e,contract,2286000,225.0,10160
0xaaf7b278bac078aa4f9bdc8e0a93cde604aa67d9,sender,1797600,224.67,8001
0x54ab716d465be3d5eeca64e63ac0048d7a81659a,sender,1661400,223.31,7440
0x000000629fbcf27a347d1aeba658435230d74a5f,sender,1406700,150.0,9378
0x68d30f47f19c07bccef4ac7fae2dc12fca3e0dc9,contract,1406700,150.0,9378
0xf3b07f6744e06cd5074b7d15ed2c33760837ce1f,sender,745800,223.43,3338
0xfcb73f6405f6b9be91013d9477d81833a69c9c0d,sender,621900,150.0,4146
0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,contract,621900,150.0,4146
0x58d14960e0a2be353edde61ad719196a2b816522,sender,345600,219.99,1571
0x2b711ee00b50d67667c4439c28aeaf7b75cb6e0d,sender,248400,225.0,1104
0x3527439923a63f8c13cf72b8fe80a77f6e572092,sender,243600,218.87,1113
0xc2adcfccee33a417064d1a45d3b202de6d9fa474,sender,123300,150.0,822
0x02993cdc11213985b9b13224f3af289f03bf298d,contract,123300,150.0,822
0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae,contract,112500,150.0,750
0x9c0b0dbbae8a976ceea8c2a96f6d00c53839afdc,sender,112500,150.0,750
0x94a365ca808029af8db18257ecd296c16c61ac05,sender,75600,117.21,645
0xece9cf6a8f2768a3b8b65060925b646afeaa5167,contract,75600,117.21,645
0xad0a80a085095eca46de3053c345516f1c722d2a,sender,64800,209.71,309
0x52ff08f313a00a54e3beffb5c4a7f7446efb6754,sender,57600,150.0,384
0xd19d4b5d358258f05d7b411e21a1460d11b0876f,contract,57600,150.0,384
0x01c3a1a6890a146ac187a019f9863b3ab2bff91e,sender,49200,240.0,205
0xabea9132b05a70803a4e85094fd0e1800777fbef,contract,49200,240.0,205
0x2572835e02b59078711aa0800490e80975e4169d,sender,37800,225.0,168
0xb32cb5677a7c971689228ec835800432b339ba2b,contract,35496,4437.0,8
0x59b84b24e307682df830b32ddc826fbbe003c210,sender,32400,225.0,144
0x0f9b807d5b0ce12450059b425dc35c727d65cb2f,sender,30600,225.0,136
0x415ed64d42bc0c37aeaaef79aa767d963ef38807,sender,21000,120.0,175
0xe51d0862078098c84346b6203b50b996f7dafe28,sender,17748,4437.0,4
0x63023d171098efbc9e7805fa85310b7078902912,sender,17748,4437.0,4
0x30efaaa99f8efe310d9fdc83072e2a04c093d400,contract,14100,300.0,47
0xd1ce90003a10e6dab877890ab1fd96511555e4b3,contract,10920,1365.0,8
0xb45440830bd8d288bb2b5b01be303ae60fc855d8,contract,10800,150.0,72
0xfeda03b91514d31b435d4e1519fd9e699c29bbfc,contract,3300,300.0,11
0x2f3c205613d9451f88e19e011ed23775afe00c41,contract,2700,150.0,18
0x38de07d2526ae929f1903e5f109b70c50e12a8e0,contract,1800,150.0,12
0xd18d17791f2071bf3c855ba770420a9edea0728d,contract,1200,300.0,4
0x2eb474cffabca358d9fd3f1d43ad2b2dfb809b0e,contract,300,300.0,1
0x271682deb8c4e0901d1a1550ad2e64d568e69909,contract,0,0.0,8
0x2d5805a423d6ce771f06972ad4499f120902631a,contract,0,0.0,4
