to_address,total_increase,avg_increase,call_count,total_old_cost,total_new_cost,unique_users
0x8c0bfc04ada21fd496c55b8c50331f904306f564,2993400,218.56,13696,7011182,10004582,17
0x5d8ba173dc6c3c90c8f7c04c9288bef5fdbad06e,2286000,225.0,10160,4950460,7236460,9
0x68d30f47f19c07bccef4ac7fae2dc12fca3e0dc9,1406700,150.0,9378,7263261,8669961,1
0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,621900,150.0,4146,3211077,3832977,1
0x02993cdc11213985b9b13224f3af289f03bf298d,123300,150.0,822,636639,759939,1
0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae,112500,150.0,750,580875,693375,1
0xece9cf6a8f2768a3b8b65060925b646afeaa5167,75600,117.21,645,577746,653346,1
0xd19d4b5d358258f05d7b411e21a1460d11b0876f,57600,150.0,384,297408,355008,1
0xabea9132b05a70803a4e85094fd0e1800777fbef,49200,240.0,205,88109,137309,1
0xb32cb5677a7c971689228ec835800432b339ba2b,35496,4437.0,8,35496,70992,2
0x30efaaa99f8efe310d9fdc83072e2a04c093d400,14100,300.0,47,9400,23500,1
0xd1ce90003a10e6dab877890ab1fd96511555e4b3,10920,1365.0,8,10920,21840,1
0xb45440830bd8d288bb2b5b01be303ae60fc855d8,10800,150.0,72,55764,66564,1
0xfeda03b91514d31b435d4e1519fd9e699c29bbfc,3300,300.0,11,2200,5500,4
0x2f3c205613d9451f88e19e011ed23775afe00c41,2700,150.0,18,13941,16641,1
0x38de07d2526ae929f1903e5f109b70c50e12a8e0,1800,150.0,12,9294,11094,1
0xd18d17791f2071bf3c855ba770420a9edea0728d,1200,300.0,4,800,2000,4
0x2eb474cffabca358d9fd3f1d43ad2b2dfb809b0e,300,300.0,1,200,500,1
0x271682deb8c4e0901d1a1550ad2e64d568e69909,0,0.0,8,10792,10792,3
0x2d5805a423d6ce771f06972ad4499f120902631a,0,0.0,4,5440,5440,2
